Date,location,actual_volume,best_forecast,selected_model,forecast_error,absolute_error
2026-03-08,1,0.0,0.0,Holiday SARIMA,0.0,0.0
2026-03-09,1,2327.0,2385.3635788992374,Holiday SARIMA,58.36357889923738,58.36357889923738
2026-03-10,1,2768.0,2587.737864568022,Holiday SARIMA,-180.2621354319781,180.2621354319781
2026-03-11,1,2102.0,2365.0274572908493,Holiday SARIMA,263.02745729084927,263.02745729084927
2026-03-12,1,1960.0,2163.99162085893,Holiday SARIMA,203.99162085893022,203.99162085893022
2026-03-13,1,1765.0,2109.3243419525074,Holiday SARIMA,344.32434195250744,344.32434195250744
2026-03-14,1,0.0,0.0,Holiday SARIMA,0.0,0.0
2026-03-15,1,0.0,0.0,Holiday SARIMA,0.0,0.0
2026-03-16,1,2348.0,2413.497415093709,Holiday SARIMA,65.49741509370915,65.49741509370915
2026-03-17,1,2480.0,2614.460750661497,Holiday SARIMA,134.46075066149706,134.46075066149706
2026-03-18,1,2075.0,2390.4101543474703,Holiday SARIMA,315.4101543474703,315.4101543474703
2026-03-19,1,2067.0,2188.1013411793524,Holiday SARIMA,121.1013411793524,121.1013411793524
2026-03-20,1,2021.0,2132.2249270492102,Holiday SARIMA,111.22492704921024,111.22492704921024
2026-03-21,1,0.0,0.0,Holiday SARIMA,0.0,0.0
2026-03-22,1,0.0,0.0,Holiday SARIMA,0.0,0.0
2026-03-23,1,2426.0,2433.122421013237,Holiday SARIMA,7.122421013236817,7.122421013236817
2026-03-24,1,2707.0,2633.101535876362,Holiday SARIMA,-73.89846412363795,73.89846412363795
2026-03-25,1,2197.0,2408.116078862935,Holiday SARIMA,211.11607886293496,211.11607886293496
2026-03-26,1,2072.0,2204.9192895293686,Holiday SARIMA,132.9192895293686,132.9192895293686
2026-03-27,1,2152.0,2148.199432444665,Holiday SARIMA,-3.8005675553349647,3.8005675553349647
2026-03-28,1,0.0,0.0,Holiday SARIMA,0.0,0.0
2026-03-29,1,0.0,0.0,Holiday SARIMA,0.0,0.0
2026-03-30,1,2296.0,2446.812017223269,Holiday SARIMA,150.81201722326887,150.81201722326887
2026-03-31,1,2771.0,2646.1045802410777,Holiday SARIMA,-124.89541975892234,124.89541975892234
2026-04-01,1,2376.0,2420.467002889961,Holiday SARIMA,44.467002889960895,44.467002889960895
2026-04-02,1,2306.0,2216.650797939453,Holiday SARIMA,-89.34920206054721,89.34920206054721
2026-04-03,1,0.0,0.0,Holiday SARIMA,0.0,0.0
2026-04-04,1,0.0,0.0,Holiday SARIMA,0.0,0.0
2026-03-08,2,0.0,9.326484680175781,XGBoost,9.326484680175781,9.326484680175781
2026-03-09,2,589.0,468.1705322265625,XGBoost,-120.8294677734375,120.8294677734375
2026-03-10,2,458.0,519.3587036132812,XGBoost,61.35870361328125,61.35870361328125
